260958	1791904	48p
261058	1792004	48p
261158	1792104	48p
261258	1792204	48p
261358	1792304	48p
261458	1792404	48p
261558	1792504	48p
261658	1792604	48p
261758	1792704	48p
261858	1792804	48p
261958	1792904	48p
262058	1793004	48p
262158	1793104	48p
262258	1793204	48p
262358	1793304	48p
262458	1793404	48p
262558	1793504	48p
262658	1793604	48p
262758	1793704	48p
262858	1793804	48p
262958	1793904	48p
263058	1794004	48p
263158	1794104	48p
263258	1794204	48p
263358	1794304	48p
263458	1794404	48p
263558	1794504	48p
263658	1794604	48p
263758	1794704	48p
263858	1794804	48p
263958	1794904	48p
264058	1795004	48p
264158	1795104	48p
264258	1795204	48p
264358	1795304	48p
264458	1795404	48p
264558	1795504	48p
264658	1795604	48p
264758	1795704	48p
264858	1795804	48p
264958	1795904	48p
265058	1796004	48p
265158	1796104	48p
265258	1796204	48p
265358	1796304	48p
265458	1796404	48p
265558	1796504	48p
265658	1796604	48p
265758	1796704	48p
265858	1796804	48p

