16.1959	102.7641
16.1968	102.7650
16.1977	102.7659
16.1986	102.7668
16.1995	102.7678
16.2004	102.7687
16.2014	102.7696
16.2023	102.7705
16.2032	102.7715
16.2041	102.7724
16.2050	102.7733
16.2059	102.7742
16.2068	102.7752
16.2077	102.7761
16.2087	102.7770
16.2096	102.7779
16.2105	102.7789
16.2114	102.7798
16.2123	102.7807
16.2132	102.7816
16.2141	102.7826
16.2151	102.7835
16.2160	102.7844
16.2169	102.7853
16.2178	102.7863
16.2187	102.7872
16.2196	102.7881
16.2205	102.7890
16.2214	102.7900
16.2224	102.7909
16.2233	102.7918
16.2242	102.7927
16.2251	102.7937
16.2260	102.7946
16.2269	102.7955
16.2278	102.7964
16.2288	102.7974
16.2297	102.7983
16.2306	102.7992
16.2315	102.8001
16.2324	102.8011
16.2333	102.8020
16.2342	102.8029
16.2351	102.8038
16.2361	102.8048
16.2370	102.8057
16.2379	102.8066
16.2388	102.8075
16.2397	102.8085
16.2406	102.8094

